form	lemma	POS	morph
གཉིས་པ་	གཉིས་པ་	NUM
མིང་བྱང་	མིང་བྱང་	NO_POS
གི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
ཤོག་བུ་	ཤོག་བུ་	NOUN
དང་	དང་	NO_POS
གྲོ་ག་	གྲོ་ག་	NO_POS
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལ་	ལ་	PART
།		PUNCT
ཚེ་	ཚེ་	NOUN
འདའ་	འདའ་	VERB
ཀྱི་	གི་	PART
གཟུགས་	གཟུགས་	NOUN
ཀྱི་	གི་	PART
སྙིང་ག་	སྙིང་ག་	NOUN
ར་	ལ་	PART
ས་བོན་	ས་བོན་	NOUN
ནྲྀའི་		NON_WORD
འོག་	འོག་	NOUN
ཏུ་	ལ་	PART
མིང་བྱང་	མིང་བྱང་	NO_POS
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
བྲི་བ་	བྲི་བ་	VERB
འམ་	གམ་	PART
།		PUNCT
བསྡུ་	བསྡུ་	VERB
ན་	ལ་	PART
ས་བོན་	ས་བོན་	NOUN
ཙམ་	ཙམ་	DET
བྲིས་	བྲིས་	VERB
ཀྱང་	ཀྱང་	PART
རུང་	རུང་	SCONJ
སྟེ་	སྟེ་	PART
། །		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
དམིགས་	དམིགས་	VERB
ན་	ནས་	PART
མིང་བྱང་	མིང་བྱང་	NO_POS
བྲན་	བྲན་	NOUN
ལ་	ལ་	PART
།		PUNCT
ཨོཾ་	ཨོཾ་	X
བཛྲ་	བཛྲ་	NO_POS
ཨ་མྲི་ཏ་	ཨ་མྲི་ཏ་	NO_POS
ས་	གིས་	PART
བསང་	བསང་	OTHER
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སྭ་		NON_WORD
བྷཱ་		NON_WORD
ཝ་	ཝ་	OTHER
ས་	གིས་	PART
སྦྱང་	སྦྱང་	VERB
།		PUNCT
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
ནྲྀ་		NON_WORD
ཡིག་	ཡིག་	NOUN
ཡོངས་	ཡོངས་	DET
གྱུར་	གྱུར་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
མདུན་	མདུན་	NOUN
དུ་	ལ་	PART
ཚེ་	ཚེ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འདས་པ་	འདས་པ་	VERB
ནི་	ནི་	NO_POS
། །		PUNCT
གསོན་པོ་	གསོན་པོ་	ADJ
འི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ཇི་ལྟ་བ་	ཇི་ལྟ་བ་	ADJ
། །		PUNCT
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
རྫོགས་པ་	རྫོགས་པ་	VERB
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
། །		PUNCT
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
བདེན་པ་	བདེན་པ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
བདེན་པ་	བདེན་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ས་	གིས་	PART
ཚེ་	ཚེ་	NOUN
འདའ་	འདའ་	VERB
ཀྱི་	གི་	PART
། །		PUNCT
རྣམ་ཤེས་	རྣམ་ཤེས་	NOUN
རིགས་	རིགས་	NOUN
དྲུག་	དྲུག་	NUM
ག་	ག་	NOUN
གནས་	གནས་	NOUN
ཀྱང་	ཀྱང་	PART
། །		PUNCT
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
རྟེན་	རྟེན་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
མཆིས་	མཆིས་	VERB
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
།		PUNCT
སྦྱང་	སྦྱང་	VERB
ཆ་	ཆ་	NOUN
ས་	གིས་	PART
རྣམས་	རྣམས་	DET
བསང་	བསང་	OTHER
སྦྱང་	སྦྱང་	VERB
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨ་	ཨ་	X
ཀཱ་	ཀཱ་	NO_POS
རོ་	རོ་	NOUN
སོགས་	སོགས་	DET
།		PUNCT
སརྦ་	སརྦ་	NO_POS
བིགྷཱན་		NON_WORD
ན་	ལ་	PART
མཿ་		NON_WORD
སརྦ་	སརྦ་	NO_POS
ཏ་	ཏ་	OTHER
ཐཱ་		NON_WORD
ག་	ག་	PRON
ཏེ་	སྟེ་	PART
བྷྱོ་		NON_WORD
སོགས་	སོགས་	DET
ན་	ནས་	PART
ག་	ག་	PRON
ག་	ག་	PRON
ན་	ལ་	PART
ཁཾ་		NON_WORD
གྲྀཧྞེ་		NON_WORD
དཾ་བ་	དཾ་བ་	NON_WORD
ལིཾ་		NON_WORD
དེ་	སྟེ་	PART
སྭཱ་		NON_WORD
ཧཱ་		NON_WORD
།		PUNCT
ཡང་	ཀྱང་	PART
སྔགས་	སྔགས་	NOUN
དེ་	སྟེ་	PART
དང་	དང་	NO_POS
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སུམྦྷ་		NON_WORD
ནི་	ནི་	NO_POS
སོགས་	སོགས་	DET
ན་	ནས་	PART
ར་	ར་	ADP
ཛཱ་	ཛཱ་	NO_POS
ཡ་	ཡ་	NOUN
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
།		PUNCT
སྦྲེལ་བ་	སྦྲེལ་བ་	VERB
ཚ་	ཚ་	VERB
གསུམ་	གསུམ་	NUM
།		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
རྩ་བ་	རྩ་བ་	NOUN
དང་	དང་	NO_POS
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
ར་	ལ་	PART
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
བདེན་པ་	བདེན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
བདེན་པ་	བདེན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
གསང་སྔགས་	གསང་སྔགས་	NOUN
